Date;Dividends;Stock Splits;Ticker;Capital Gains
2019-04-26 03:00:00;0.084538;0,0;AALR3;
2020-04-28 03:00:00;0.087297;0,0;AALR3;
2010-04-01 03:00:00;0.079166;0,0;ABCB4;
2010-07-01 03:00:00;0.079166;0,0;ABCB4;
2010-10-01 03:00:00;0.085256;0,0;ABCB4;
2011-04-01 03:00:00;0.100301;0,0;ABCB4;
2011-07-01 03:00:00;0.107465;0,0;ABCB4;
2011-10-03 03:00:00;0.107465;0,0;ABCB4;
2012-07-03 03:00:00;0.237986;0,0;ABCB4;
2013-01-03 02:00:00;0.223488;0,0;ABCB4;
2014-07-01 03:00:00;0.239077;0,0;ABCB4;
2015-01-02 02:00:00;0.189726;0,0;ABCB4;
2015-07-01 03:00:00;0.232653;0,0;ABCB4;
2016-01-04 02:00:00;0.337107;0,0;ABCB4;
2016-07-01 03:00:00;0.503655;0,0;ABCB4;
2017-01-02 02:00:00;0.506838;0,0;ABCB4;
2017-07-03 03:00:00;0.530041;0,0;ABCB4;
2018-01-02 02:00:00;0.513928;0,0;ABCB4;
2018-07-02 03:00:00;0.521656;0,0;ABCB4;
2019-01-02 02:00:00;0.52449;0,0;ABCB4;
2019-07-05 03:00:00;0.543951;0,0;ABCB4;
2020-01-02 03:00:00;0.477782;0,0;ABCB4;
2020-08-13 03:00:00;0.154736;0,0;ABCB4;
2021-01-07 03:00:00;0.331759;0,0;ABCB4;
2021-04-01 03:00:00;0.208966;0,0;ABCB4;
2021-07-01 03:00:00;0.214852;0,0;ABCB4;
2021-10-07 03:00:00;0.227606;0,0;ABCB4;
2022-01-03 03:00:00;0.247227;0,0;ABCB4;
2022-04-01 03:00:00;0.307071;0,0;ABCB4;
2022-07-01 03:00:00;0.345333;0,0;ABCB4;
2022-10-03 03:00:00;0.355143;0,0;ABCB4;
2023-01-02 03:00:00;0.362992;0,0;ABCB4;
2023-07-03 03:00:00;0.829489;0,0;ABCB4;
2024-01-02 03:00:00;0.741;0,0;ABCB4;
2024-07-01 03:00:00;0.785;0,0;ABCB4;
2024-12-30 03:00:00;0.86;0,0;ABCB4;
2025-07-01 03:00:00;1.086;0,0;ABCB4;
2025-12-30 03:00:00;1.532;0,0;ABCB4;
2000-10-20 02:00:00;0.0;0,2;ABEV3;
2005-06-01 03:00:00;0.0;1,2;ABEV3;
2007-08-02 03:00:00;0.0;0,05;ABEV3;
2007-12-11 02:00:00;0.016302;0,0;ABEV3;
2008-04-15 03:00:00;0.066725;0,0;ABEV3;
2008-07-17 03:00:00;0.059253;0,0;ABEV3;
2008-09-30 03:00:00;0.050124;0,0;ABEV3;
2009-01-15 02:00:00;0.02649;0,0;ABEV3;
2009-04-23 03:00:00;0.016382;0,0;ABEV3;
2009-07-06 03:00:00;0.044071;0,0;ABEV3;
2009-09-16 03:00:00;0.052441;0,0;ABEV3;
2009-12-03 02:00:00;0.077473;0,0;ABEV3;
2010-03-19 03:00:00;0.059234;0,0;ABEV3;
2010-09-29 03:00:00;0.031585;0,0;ABEV3;
2010-09-30 03:00:00;0.063169;0,0;ABEV3;
2010-12-01 02:00:00;0.020377;0,0;ABEV3;
2010-12-20 02:00:00;0.0;5,0;ABEV3;
2011-03-04 03:00:00;0.111874;0,0;ABEV3;
2011-07-01 03:00:00;0.085741;0,0;ABEV3;
2011-10-03 03:00:00;0.1443;0,0;ABEV3;
2012-03-01 03:00:00;0.150496;0,0;ABEV3;
2012-06-22 03:00:00;0.073193;0,0;ABEV3;
2012-10-01 03:00:00;0.10269;0,0;ABEV3;
2012-12-27 02:00:00;0.180682;0,0;ABEV3;
2013-02-28 03:00:00;0.127188;0,0;ABEV3;
2013-09-16 03:00:00;0.129988;0,0;ABEV3;
2013-11-12 02:00:00;0.0;5,0;ABEV3;
2014-01-15 02:00:00;0.253977;0,0;ABEV3;
2014-04-03 03:00:00;0.059994;0,0;ABEV3;
2014-07-29 03:00:00;0.16;0,0;ABEV3;
2014-10-28 02:00:00;0.22;0,0;ABEV3;
2015-01-02 02:00:00;0.13;0,0;ABEV3;
2015-01-08 02:00:00;0.96;0,0;ABEV3;
2015-03-02 03:00:00;0.09;0,0;ABEV3;
2015-06-02 03:00:00;0.1;0,0;ABEV3;
2015-09-09 03:00:00;0.15;0,0;ABEV3;
2015-12-22 02:00:00;0.15;0,0;ABEV3;
2016-02-01 02:00:00;0.13;0,0;ABEV3;
2016-07-12 03:00:00;0.13;0,0;ABEV3;
2016-11-01 02:00:00;0.16;0,0;ABEV3;
2016-12-22 02:00:00;0.22;0,0;ABEV3;
2017-01-24 02:00:00;0.07;0,0;ABEV3;
2017-06-26 03:00:00;0.16;0,0;ABEV3;
2017-12-19 02:00:00;0.31;0,0;ABEV3;
2018-02-01 02:00:00;0.07;0,0;ABEV3;
2018-06-18 03:00:00;0.16;0,0;ABEV3;
2018-12-19 02:00:00;0.32;0,0;ABEV3;
2019-12-20 03:00:00;0.4906;0,0;ABEV3;
2020-12-18 03:00:00;0.4137;0,0;ABEV3;
2021-01-14 03:00:00;0.0767;0,0;ABEV3;
2021-12-20 03:00:00;0.6036;0,0;ABEV3;
2022-12-20 03:00:00;0.7623;0,0;ABEV3;
2023-12-20 03:00:00;0.7302;0,0;ABEV3;
2024-12-20 03:00:00;0.6676;0,0;ABEV3;
2025-03-17 03:00:00;0.1276;0,0;ABEV3;
2025-05-16 03:00:00;0.128;0,0;ABEV3;
2025-12-19 03:00:00;1.4502;0,0;ABEV3;
2016-06-22 03:00:00;0.0;0,1;ADHM3;0,0
2017-01-23 02:00:00;0.0;0,25;ADHM3;0,0
2008-04-01 04:00:00;0;0,001;AELP3;0,0
2010-08-06 04:00:00;0.794226 BRL;0,0;AELP3;0,0
2011-05-02 04:00:00;2.44694 BRL;0,0;AELP3;0,0
2011-08-11 04:00:00;1.3465 BRL;0,0;AELP3;0,0
2013-11-11 05:00:00;0.052598 BRL;0,0;AELP3;0,0
2014-11-07 05:00:00;0.126235 BRL;0,0;AELP3;0,0
2016-04-29 04:00:00;0.127286 BRL;0,0;AELP3;0,0
2022-03-28 03:00:00;0.41404;0,0;AERI3;
2024-05-14 03:00:00;0.0;0,05;AERI3;
2007-12-10 02:00:00;0.0;0,001;AFLT3;
2011-05-02 03:00:00;0.249565;0,0;AFLT3;
2012-04-23 03:00:00;0.318682;0,0;AFLT3;
2013-04-30 03:00:00;0.266416;0,0;AFLT3;
2013-08-26 03:00:00;0.142707;0,0;AFLT3;
2014-04-30 03:00:00;0.150062;0,0;AFLT3;
2014-09-19 03:00:00;0.100941;0,0;AFLT3;
2015-04-29 03:00:00;0.124671;0,0;AFLT3;
2016-04-29 03:00:00;0.190242;0,0;AFLT3;
2016-09-08 03:00:00;0.118887;0,0;AFLT3;
2017-04-13 03:00:00;0.096276;0,0;AFLT3;
2017-09-21 03:00:00;0.122287;0,0;AFLT3;
2018-03-28 03:00:00;0.076133;0,0;AFLT3;
2018-10-24 03:00:00;0.104383;0,0;AFLT3;
2019-12-13 03:00:00;0.105651;0,0;AFLT3;
2020-07-30 03:00:00;0.548808;0,0;AFLT3;
2020-09-24 03:00:00;0.173956;0,0;AFLT3;
2021-04-08 03:00:00;0.439649;0,0;AFLT3;
2021-12-06 03:00:00;0.190442;0,0;AFLT3;
2022-04-19 03:00:00;0.236234;0,0;AFLT3;
2023-04-24 03:00:00;0.594276;0,0;AFLT3;
2024-04-11 03:00:00;0.455138;0,0;AFLT3;
2024-04-15 03:00:00;0.32539;0,0;AFLT3;
2024-06-26 03:00:00;0.127242;0,0;AFLT3;
2024-12-26 03:00:00;0.086804;0,0;AFLT3;
2025-07-03 03:00:00;0.017041;0,0;AFLT3;
2026-01-02 03:00:00;0.12526;0,0;AFLT3;
2007-11-01 02:00:00;0.0;100,0;AGRO3;
2008-10-30 02:00:00;0.019349;0,0;AGRO3;
2013-12-19 02:00:00;0.100704;0,0;AGRO3;
2015-10-29 02:00:00;1.3977;0,0;AGRO3;
2016-10-24 02:00:00;0.182998;0,0;AGRO3;
2016-11-08 02:00:00;0.401082;0,0;AGRO3;
2017-10-03 03:00:00;0.241108;0,0;AGRO3;
2018-10-17 03:00:00;0.762051;0,0;AGRO3;
2019-10-17 03:00:00;0.92933;0,0;AGRO3;
2020-10-19 03:00:00;0.709664;0,0;AGRO3;
2021-10-28 03:00:00;2.621181;0,0;AGRO3;
2022-04-08 03:00:00;2.016293;0,0;AGRO3;
2022-10-28 03:00:00;3.238673;0,0;AGRO3;
2023-10-25 03:00:00;3.212353;0,0;AGRO3;
2024-10-23 03:00:00;1.555983;0,0;AGRO3;
2025-10-23 03:00:00;0.752895;0,0;AGRO3;
2022-05-02 03:00:00;2.517954;0,0;AGXY3;
2023-05-02 03:00:00;0.59486;0,0;AGXY3;
2025-05-06 03:00:00;0.0;0,06666666666666667;AGXY3;
2021-09-16 03:00:00;0.463642;0,0;ALLD3;
2021-12-17 03:00:00;0.29731;0,0;ALLD3;
2022-05-02 03:00:00;0.570983;0,0;ALLD3;
2022-12-28 03:00:00;0.353999;0,0;ALLD3;
2023-12-20 03:00:00;0.965452;0,0;ALLD3;
2024-04-16 03:00:00;1.069763;0,0;ALLD3;
2024-12-09 03:00:00;1.297059;0,0;ALLD3;
2025-08-18 03:00:00;0.737651;0,0;ALLD3;
2025-11-17 03:00:00;1.898167;0,0;ALLD3;
2026-02-02 03:00:00;0.420822;0,0;ALLD3;
2021-04-29 03:00:00;0.226403;0,0;ALOS3;
2022-05-03 03:00:00;0.383932;0,0;ALOS3;
2023-05-02 03:00:00;0.519014;0,0;ALOS3;
2024-05-02 03:00:00;1.119397;0,0;ALOS3;
2024-10-07 03:00:00;0.095312;0,0;ALOS3;
2024-10-22 03:00:00;0.096151;0,0;ALOS3;
2024-11-19 03:00:00;0.096451;0,0;ALOS3;
2024-12-23 03:00:00;0.12011;0,0;ALOS3;
2025-01-24 03:00:00;0.09091;0,0;ALOS3;
2025-02-21 03:00:00;0.09135;0,0;ALOS3;
2025-03-24 03:00:00;0.101603;0,0;ALOS3;
2025-04-23 03:00:00;0.101521;0,0;ALOS3;
2025-05-23 03:00:00;0.101521;0,0;ALOS3;
2025-08-22 03:00:00;0.102164;0,0;ALOS3;
2025-09-24 03:00:00;0.102165;0,0;ALOS3;
2025-10-22 03:00:00;0.102165;0,0;ALOS3;
2025-11-19 03:00:00;0.294482;0,0;ALOS3;
2025-12-22 03:00:00;0.292479;0,0;ALOS3;
2026-01-22 03:00:00;0.29248;0,0;ALOS3;
2026-02-20 03:00:00;0.29248;0,0;ALOS3;
2005-06-09 03:00:00;0.0;0,01;ALPA3;
2007-11-23 02:00:00;0.019414;0,0;ALPA3;
2008-03-25 03:00:00;0.022539;0,0;ALPA3;
2008-05-26 03:00:00;0.007156;0,0;ALPA3;
2008-08-26 03:00:00;0.021698;0,0;ALPA3;
2008-11-24 02:00:00;0.042855;0,0;ALPA3;
2009-03-23 03:00:00;0.024042;0,0;ALPA3;
2009-05-25 03:00:00;0.008024;0,0;ALPA3;
2009-08-24 03:00:00;0.008114;0,0;ALPA3;
2009-11-23 02:00:00;0.162284;0,0;ALPA3;
2010-02-25 03:00:00;0.0;20,0;ALPA3;
2010-03-19 03:00:00;0.019775;0,0;ALPA3;
2010-05-24 03:00:00;0.02799;0,0;ALPA3;
2010-11-22 02:00:00;0.022952;0,0;ALPA3;
2011-03-28 03:00:00;0.067054;0,0;ALPA3;
2011-05-23 03:00:00;0.03293;0,0;ALPA3;
2011-08-22 03:00:00;0.033918;0,0;ALPA3;
2011-11-21 02:00:00;0.03046;0,0;ALPA3;
2012-03-20 03:00:00;0.035565;0,0;ALPA3;
2012-04-26 03:00:00;0.0;1,1;ALPA3;
2012-05-14 03:00:00;0.035894;0,0;ALPA3;
2012-08-13 03:00:00;0.033918;0,0;ALPA3;
2012-11-19 02:00:00;0.034577;0,0;ALPA3;
2013-03-25 03:00:00;0.07755;0,0;ALPA3;
2013-04-25 03:00:00;0.0;1,1;ALPA3;
2013-05-20 03:00:00;0.032766;0,0;ALPA3;
