Date;Ticker;Adj Close;Close;High;Low;Open;Volume
2016-03-07;ABEV3.SA;;12,004212379455566;12,141975471282963;11,860187166039072;12,022998744222852;17079300,0
2016-03-07;B3SA3.SA;;3,293431282043457;3,497948397793939;3,2487661568801074;3,4556345465642457;89811600,0
2016-03-07;BBAS3.SA;;4,888273239135742;4,9391371227290355;4,687495315620004;4,885596138882973;22629000,0
2016-03-07;BBDC4.SA;;7,117949485778809;7,3192981254164975;6,965578078998653;7,3192981254164975;35402166,0
2016-03-07;ITUB4.SA;;9,430224418640137;9,48763304626278;9,155264188639675;9,472525909610349;34232994,0
2016-03-07;PETR4.SA;;1,963563084602356;2,0061914068681217;1,8516639450980403;1,9315919381845637;85041400,0
2016-03-07;RENT3.SA;;6,847908020019531;6,994126493219296;6,553033661424007;6,791857579549268;3559346,0
2016-03-07;VALE3.SA;;8,69178295135498;9,196084579775897;8,246811314579324;8,775833222758466;20198100,0
2016-03-07;WEGE3.SA;;4,412717819213867;4,482259887317309;4,343176926780627;4,377947764887314;6546280,0
2016-03-08;ABEV3.SA;;11,929068565368652;12,035522247649286;11,797567590163075;12,016737076549983;23245800,0
2016-03-08;B3SA3.SA;;3,307537078857422;3,392164811501958;3,260521335551963;3,267573814746033;104368200,0
2016-03-08;BBAS3.SA;;5,421002388000488;5,421002388000488;4,802606703005253;4,885594744741181;53123000,0
2016-03-08;BBDC4.SA;;7,1533203125;7,332901245515487;7,036320555210073;7,074412845175142;49113623,0
2016-03-08;ITUB4.SA;;9,64173698425293;9,783749746480357;9,312388948428692;9,390948901872516;36110670,0
2016-03-08;PETR4.SA;;1,9902061223983765;2,08878403501057;1,8862998113120855;1,9635634948175416;137169400,0
2016-03-08;RENT3.SA;;6,823539733886719;7,067237747020684;6,6212700122763835;6,784548082677714;5816379,0
2016-03-08;VALE3.SA;;7,431026935577393;8,449517878853431;7,431026935577393;8,311081905373102;17884700,0
2016-03-08;WEGE3.SA;;4,599215984344482;4,637147814473809;4,352660264174267;4,431684518386894;8435180,0
2016-03-09;ABEV3.SA;;11,678589820861816;12,054308774795915;11,634756161872069;12,04804665288629;21459800,0
2016-03-09;B3SA3.SA;;3,4744415283203125;3,519106672743735;3,314589468803316;3,3616045430513206;84384300,0
2016-03-09;BBAS3.SA;;5,434389591217041;5,680677227987152;5,329985221594347;5,407619606619743;49665000,0
2016-03-09;BBDC4.SA;;6,829532146453857;7,400926600354372;6,829532146453857;7,27032174395985;51949750,0
2016-03-09;ITUB4.SA;;9,321454048156738;9,877417934331982;9,321454048156738;9,756556454161025;42538586,0
2016-03-09;PETR4.SA;;2,02484130859375;2,072798158337556;1,9608990116580767;2,0514839323169474;84821900,0
2016-03-09;RENT3.SA;;6,799170017242432;7,052616156685668;6,799170017242432;6,891775485944918;4665598,0
2016-03-09;VALE3.SA;;7,168990135192871;7,678235509325406;6,941560084457423;7,579352981072839;11891900,0
2016-03-09;WEGE3.SA;;4,384268760681152;4,6529512742799755;4,362141868623724;4,633985366802181;9118980,0
2016-03-10;ABEV3.SA;;11,666067123413086;11,878974519051306;11,421850308454218;11,753735647390922;28065400,0
2016-03-10;B3SA3.SA;;3,6342928409576416;3,7071665239316514;3,4814923261358213;3,523806175169931;106879800,0
2016-03-10;BBAS3.SA;;5,755631923675537;5,878775431370995;5,399585876263044;5,554854065872902;45257200,0
2016-03-10;BBDC4.SA;;7,033597946166992;7,147877000250153;6,807761069947459;6,979179375253027;45017490,0
2016-03-10;ITUB4.SA;;9,68706226348877;9,820010992385004;9,279155235058907;9,545050538073315;49916558,0
2016-03-10;PETR4.SA;;2,1180906295776367;2,1207549555646086;1,9475777047151412;2,0781267561094987;117672300,0
2016-03-10;RENT3.SA;;6,745556831359863;7,025809904088886;6,54572525996007;6,935641839807461;7261918,0
2016-03-10;VALE3.SA;;6,921783924102783;7,416197061538696;6,565806333126375;7,416197061538696;11073200,0
2016-03-10;WEGE3.SA;;4,349499225616455;4,475938265958366;4,207255256245539;4,428523870761482;8293740,0
2016-03-11;ABEV3.SA;;11,40932559967041;11,759997292586267;11,296610978066461;11,597185691099135;22639400,0
2016-03-11;B3SA3.SA;;3,714219331741333;3,747130445409959;3,4791423503985754;3,6436962373385056;79500300,0
2016-03-11;BBAS3.SA;;6,117033004760742;6,234822840384791;5,688706747531569;5,760986908751184;56263800,0
2016-03-11;BBDC4.SA;;7,283924102783203;7,313854348275815;7,017273125651796;7,033598864549153;41492367,0
2016-03-11;ITUB4.SA;;9,768643379211426;9,968064837356211;9,605480368002057;9,614544441041447;29720516,0
2016-03-11;PETR4.SA;;2,1553900241851807;2,1900254932239855;2,0434908947010606;2,115426031220562;92331300,0
2016-03-11;RENT3.SA;;6,626143932342529;6,852783141797186;6,477488409897438;6,823539597054531;4037537,0
2016-03-11;VALE3.SA;;6,857509613037109;7,243151697474713;6,793235853712663;6,95639213834046;11250900,0
2016-03-11;WEGE3.SA;;4,3052449226379395;4,400074477129352;4,279957433330281;4,352659307993595;5729880,0
2016-03-14;ABEV3.SA;;11,296607971191406;11,484466818239056;11,221463715745895;11,428108925249278;11003000,0
2016-03-14;B3SA3.SA;;3,594329833984375;3,859967322213491;3,58727769282005;3,761234991948509;75402000,0
2016-03-14;BBAS3.SA;;5,968700885772705;6,350482661533813;5,793941221361173;6,183788993464668;42439800,0
2016-03-14;BBDC4.SA;;7,237663745880127;7,52880343128962;7,224059247503801;7,308408020057955;33809249,0
2016-03-14;ITUB4.SA;;9,723315238952637;10,031512971297472;9,681013737291952;9,826048534659863;29833991,0
2016-03-14;PETR4.SA;;1,9715559482574463;2,1846970528807645;1,9715559482574463;2,1660472808634252;86084700,0
2016-03-14;RENT3.SA;;6,660262107849121;6,877153230439319;6,49211074559971;6,6261445073038;2148368,0
