Date,Dividends,Ticker
2005-07-01,0.250663,PETR4
2006-01-02,0.259,PETR4
2006-11-01,0.50075,PETR4
2007-01-02,0.225,PETR4
2007-04-03,0.1803,PETR4
2007-08-20,0.2517,PETR4
2007-10-08,0.2565,PETR4
2008-01-14,0.1553,PETR4
2008-04-07,0.1026,PETR4
2009-04-09,0.3516,PETR4
2009-07-06,0.3,PETR4
2009-10-01,0.2,PETR4
2009-12-21,0.2,PETR4
2010-04-23,0.2533,PETR4
2010-05-24,0.2,PETR4
2010-08-02,0.2,PETR4
2010-11-03,0.14,PETR4
2010-12-22,0.2,PETR4
2011-03-22,0.17342,PETR4
2011-04-29,0.1265,PETR4
2011-05-12,0.2136,PETR4
2011-08-03,0.2073,PETR4
2011-11-14,0.2,PETR4
2012-01-03,0.1773,PETR4
2012-03-20,0.1244,PETR4
2012-05-14,0.2,PETR4
2013-04-30,0.78,PETR4
2014-04-03,0.99757,PETR4
2018-05-22,0.05,PETR4
2018-08-14,0.05,PETR4
2018-11-22,0.1,PETR4
2018-12-26,0.716563,PETR4
2019-04-26,0.019494,PETR4
2019-05-22,0.1,PETR4
2019-08-13,0.2,PETR4
2019-11-12,0.200925,PETR4
2019-12-27,0.421942,PETR4
2020-07-23,0.000461,PETR4
2021-04-15,0.792834,PETR4
2021-08-17,1.609911,PETR4
2021-12-02,3.250487,PETR4
2022-04-14,2.970249,PETR4
2022-05-24,3.71549,PETR4
2022-08-12,6.732003,PETR4
2022-11-22,1.748708,PETR4
2023-04-28,2.930163,PETR4
2023-06-13,1.893576,PETR4
2023-08-22,1.149304,PETR4
2023-11-22,1.371248,PETR4
2024-04-26,1.150024,PETR4
2024-05-03,1.776022,PETR4
2024-06-12,1.043242,PETR4
2024-08-22,1.0532,PETR4
2024-12-12,1.551743,PETR4
2024-12-26,1.356891,PETR4
2025-04-17,0.74813,PETR4
2025-06-03,0.909166,PETR4
2025-08-22,0.671924,PETR4
2025-12-23,0.952128,PETR4
2008-04-11,0.436585,VALE3
2008-10-17,0.65326,VALE3
2009-04-16,2.7534683,VALE3
2009-10-16,0.492036,VALE3
2010-04-15,0.421661,VALE3
2011-01-17,0.32,VALE3
2011-04-14,0.6082,VALE3
2011-08-12,0.933403,VALE3
2012-04-16,1.075276,VALE3
2012-10-17,0.6606,VALE3
2013-04-17,0.153608,VALE3
2013-10-18,0.944305,VALE3
2014-04-15,0.898904,VALE3
2014-10-17,0.99087,VALE3
2015-04-15,0.601761,VALE3
2015-10-16,0.37361,VALE3
2016-12-02,0.166294,VALE3
2017-04-24,0.905572,VALE3
2017-12-22,0.419912,VALE3
