Data_Balanco;Tax Effect Of Unusual Items;Tax Rate For Calcs;Normalized EBITDA;Total Unusual Items;Total Unusual Items Excluding Goodwill;Net Income From Continuing Operation Net Minority Interest;Reconciled Depreciation;Reconciled Cost Of Revenue;EBITDA;EBIT;Net Interest Income;Interest Expense;Interest Income;Normalized Income;Net Income From Continuing And Discontinued Operation;Total Expenses;Total Operating Income As Reported;Diluted Average Shares;Basic Average Shares;Diluted EPS;Basic EPS;Diluted NI Availto Com Stockholders;Net Income Common Stockholders;Otherunder Preferred Stock Dividend;Net Income;Minority Interests;Net Income Including Noncontrolling Interests;Net Income Continuous Operations;Tax Provision;Pretax Income;Net Non Operating Interest Income Expense;Total Other Finance Cost;Interest Expense Non Operating;Interest Income Non Operating;Operating Income;Operating Expense;Other Operating Expenses;Selling General And Administration;General And Administrative Expense;Gross Profit;Cost Of Revenue;Total Revenue;Operating Revenue;Ticker;Net Income Extraordinary;Other Non Operating Income Expenses;Gain On Sale Of Security;Depreciation And Amortization In Income Statement;Depreciation Income Statement;Selling And Marketing Expense;Insurance And Claims;Rent And Landing Fees;Other Income Expense;Special Income Charges;Gain On Sale Of Ppe;Other Special Charges;Write Off;Restructuring And Mergern Acquisition;Earnings From Equity Interest;Other Taxes;Other Gand A;Excise Taxes;Rent Expense Supplemental;Impairment Of Capital Assets;Provision For Doubtful Accounts;Depreciation Amortization Depletion Income Statement;Salaries And Wages;Net Income Discontinuous Operations;Amortization;Amortization Of Intangibles Income Statement;Research And Development;Preferred Stock Dividends;Professional Expense And Contract Services Expense;Other Non Interest Expense;Net Policyholder Benefits And Claims;Average Dilution Earnings;Gain On Sale Of Business;Depletion Income Statement
2022-12-31;-5712051,087985;0,308893;;-18492000,0;-18492000,0;-5842000,0;;;;;45585000,0;4587000,0;50172000,0;6937948,912015;-5842000,0;;;18950964,0;18950964,0;-0,308293;-0,308293;-5842000,0;-5842000,0;;-5842000,0;2000,0;-5844000,0;-5844000,0;-2612000,0;-8456000,0;;;;;;35765000,0;13849000,0;14138000,0;13915000,0;;;50485000,0;50485000,0;MERC3;;20000,0;-57000,0;;;223000,0;1930000,0;;;-18492000,0;;18492000,0;;;;;;;;;;;;;;;;;;;;;;
2021-12-31;-138040,0;0,34;;-406000,0;-406000,0;13210000,0;;;;;44924000,0;1479000,0;46403000,0;13477960,0;13210000,0;;;18950964,0;18950964,0;0,69708;0,69708;13210000,0;13210000,0;;13210000,0;0,0;13210000,0;13210000,0;-5042000,0;8168000,0;;;;;;34694000,0;12232000,0;12955000,0;12714000,0;;;50174000,0;50174000,0;MERC3;0,0;-45000,0;-252000,0;;;241000,0;2176000,0;;;-406000,0;;406000,0;;;;;;;;;;;;;;;;;;;;;;
2024-12-31;-1036763,179074;0,367907;;-2818000,0;-2818000,0;25131000,0;;;;;63164000,0;20718000,0;83882000,0;26912236,820926;25131000,0;;;40995171,0;40995171,0;0,613;0,613;25131000,0;25131000,0;;25131000,0;-1000,0;25132000,0;25132000,0;14628000,0;39760000,0;;;;;;40305000,0;15836000,0;21060000,0;21060000,0;;;83941000,0;83941000,0;MERC4;;;-8000,0;;;;716000,0;;;-2818000,0;;2818000,0;;;;;;;;;;;;;;;;;;;;;;
2023-12-31;-1846540,0;0,34;;-5431000,0;-5431000,0;2768000,0;;;;;40400000,0;566000,0;40966000,0;6352460,0;2768000,0;;;18010000,0;18010000,0;0,1537;0,1537;2768000,0;2768000,0;;2768000,0;-2000,0;2770000,0;2770000,0;-556000,0;2214000,0;;;;;;28067000,0;14292000,0;10385000,0;10385000,0;;;45851000,0;45851000,0;MERC4;;2000,0;-252000,0;;;3000,0;1706000,0;;;-5431000,0;;5431000,0;;;;;;;;;;;;;;;;;;;;;;
2022-12-31;-5712051,087985;0,308893;;-18492000,0;-18492000,0;-5842000,0;;;;;45585000,0;4587000,0;50172000,0;6937948,912015;-5842000,0;;;18950964,0;18950964,0;-0,308293;-0,308293;-5842000,0;-5842000,0;;-5842000,0;2000,0;-5844000,0;-5844000,0;-2612000,0;-8456000,0;;;;;;35765000,0;13849000,0;14138000,0;13915000,0;;;50485000,0;50485000,0;MERC4;;20000,0;-57000,0;;;223000,0;1930000,0;;;-18492000,0;;18492000,0;;;;;;;;;;;;;;;;;;;;;;
2021-12-31;-138040,0;0,34;;-406000,0;-406000,0;13210000,0;;;;;44924000,0;1479000,0;46403000,0;13477960,0;13210000,0;;;18950964,0;18950964,0;0,69708;0,69708;13210000,0;13210000,0;;13210000,0;0,0;13210000,0;13210000,0;-5042000,0;8168000,0;;;;;;34694000,0;12232000,0;12955000,0;12714000,0;;;50174000,0;50174000,0;MERC4;0,0;-45000,0;-252000,0;;;241000,0;2176000,0;;;-406000,0;;406000,0;;;;;;;;;;;;;;;;;;;;;;
2024-12-31;2068778,8;0,3596;9740000,0;5753000,0;5753000,0;-41575000,0;21411000,0;834552000,0;15493000,0;-5918000,0;-55739000,0;59001000,0;7017000,0;-45259221,2;-41575000,0;888548000,0;;5783212,0;5783212,0;-7,1889;-7,1889;-41575000,0;-41575000,0;0,0;-41575000,0;;-41575000,0;-41575000,0;-23344000,0;-64919000,0;-55739000,0;3755000,0;59001000,0;7017000,0;59490000,0;53996000,0;8539000,0;48270000,0;37745000,0;113486000,0;834552000,0;948038000,0;948038000,0;MGEL3;;;;;;10525000,0;;;;5753000,0;;-5291000,0;-462000,0;;;;;;;;;;;;;;;;;;;;;
2023-12-31;-173486,1;0,3747;140763000,0;-463000,0;-463000,0;34047000,0;20739000,0;800994000,0;140300000,0;119561000,0;-58917000,0;65110000,0;9396000,0;34336513,9;34047000,0;839122000,0;;5783212,0;5783212,0;5,8872;5,8872;34047000,0;34047000,0;0,0;34047000,0;;34047000,0;34047000,0;20404000,0;54451000,0;-58917000,0;3203000,0;65110000,0;9396000,0;88749000,0;38128000,0;483000,0;43951000,0;34906000,0;126877000,0;800994000,0;927871000,0;927871000,0;MGEL3;;;;;;9045000,0;;;;-463000,0;;463000,0;0,0;;;;;;;;;;;;;;;;;;;;;
2022-12-31;7309320,0;0,34;149026000,0;21498000,0;21498000,0;258724000,0;19720000,0;873266000,0;170524000,0;150804000,0;-56960000,0;59025000,0;4700000,0;244535320,0;258724000,0;915457000,0;;5783212,0;5783212,0;44,7371;44,7371;258724000,0;258724000,0;0,0;258724000,0;;258724000,0;258724000,0;-166945000,0;91779000,0;-56960000,0;2635000,0;59025000,0;4700000,0;101729000,0;42191000,0;12893000,0;37065000,0;30939000,0;143920000,0;873266000,0;1017186000,0;1017186000,0;MGEL3;;;;;;6126000,0;;;;21498000,0;;-21498000,0;;;;;;;;;;;;;;;;;;;;;;
2021-12-31;0,0;0,2147;245518000,0;1279000,0;1279000,0;149330000,0;19068000,0;732221000,0;245518000,0;226450000,0;24777000,0;36297000,0;61074000,0;149330000,0;149330000,0;669830000,0;;5783212,0;5783212,0;25,821291;25,821291;149330000,0;149330000,0;0,0;149330000,0;;149330000,0;149330000,0;40823000,0;190153000,0;24777000,0;-58200000,0;36297000,0;61074000,0;193144000,0;-62391000,0;21866000,0;34013000,0;28167000,0;130753000,0;732221000,0;862974000,0;862974000,0;MGEL3;;;;;;5846000,0;;;;1279000,0;;-1279000,0;;;;;;;;;;;;;;;;;;;;;;
